address,housing_type,region,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,land_area,other_srq,latitude,longitude
Stabbegatan 95,Lägenhet,Björkekärr,Göteborgs kommun,62.0,3.0,4376.0,2990000,2022-09-05,0.0,48226.0,0.0,0.0,57.7174234,12.0462357
Fatabursvägen 7,Lägenhet,Torslanda,Göteborgs kommun,88.0,4.0,4693.0,4400000,2022-09-05,5.0,50000.0,0.0,0.0,57.7442582,11.8198911
Gullringevägen 21,Villa,Säve,Göteborgs kommun,179.0,8.0,,5500000,2022-09-05,10.0,30726.0,2185.8,38.0,57.8031752,11.9160143
Rösebergsgatan 9,Villa,Tolered,Göteborgs kommun,160.0,6.0,,7450000,2022-09-04,-4.0,46562.0,985.6,29.0,57.72512015,11.90722699883796
Lodjursstråket 1,Lägenhet,Lindholmen,Göteborgs kommun,49.0,2.0,3817.0,4200000,2022-09-02,-2.0,85714.0,0.0,0.0,57.7095787,11.9390091
Kabelgatan 14,,Lägenhet,Majorna,Göteborgs kommun,53.5,2.0,3887.0,2980000,2022-08-30,0.0,55701.0,0.0,0.0,57.69014735,11.92490369972362
Lodjursstråket 1 (Karlatornet),Lägenhet,Lindholmen,Göteborgs kommun,79.0,3.0,5368.0,6100000,2022-08-22,-6.0,77215.0,0.0,0.0,,
Birkagatan 18A,Lägenhet,Örgryte,Göteborgs kommun,37.0,1.0,2335.0,2255000,2022-09-05,9.0,60946.0,0.0,0.0,57.7063271,12.0230293
Sörgårdsvägen 15,Villa,Utby,Göteborgs kommun,72.0,4.0,,3750000,2022-09-05,7.0,52083.0,444.1,36.0,57.7361633,12.0585844
Svarvstensvägen 28,Villa,Hisings Kärra,Göteborgs kommun,96.0,4.0,5712.0,3900000,2022-09-04,-2.0,40625.0,0.0,0.0,57.80383245,11.980318152838889
Nolehultsvägen 7,Lägenhet,Tuve,Göteborgs kommun,77.5,3.0,4111.0,3340000,2022-09-04,1.0,43097.0,0.0,0.0,57.75473,11.9286578
Vädursgatan 1,Lägenhet,Gårda,Göteborgs kommun,28.0,1.0,1503.0,2100000,2022-09-04,0.0,75000.0,0.0,0.0,57.7033713,11.9920935
Paradisgatan 25O,Lägenhet,Masthugget,Göteborgs kommun,44.0,2.0,3115.0,2750000,2022-09-04,0.0,62500.0,0.0,0.0,57.6941091,11.9411859
Brunnehagen 23,Lägenhet,Tuve,Göteborgs kommun,80.0,3.0,5240.0,2355000,2022-09-04,7.0,29438.0,0.0,0.0,57.7493428,11.9261568
Masthuggstorget 5,Lägenhet,Masthugget,Göteborgs kommun,87.0,3.0,5356.0,6250000,2022-09-04,1.0,71839.0,0.0,0.0,57.6991064,11.942509
Slättadammsgatan 7B,Lägenhet,Tolered,Göteborgs kommun,58.2,2.0,5080.0,1500000,2022-09-04,1.0,25773.0,0.0,0.0,57.7311803,11.9286477
Kupeskärsgatan 53,Radhus,Önnered,Göteborgs kommun,102.0,5.0,,4755000,2022-09-04,0.0,46618.0,122.3,9.0,57.6410549,11.8925642
Bergklevet 16,Villa,Torslanda,Göteborgs kommun,209.0,8.0,,9210000,2022-09-04,-7.0,44067.0,1050.0,0.0,57.7185923,11.7267338
Eklandagatan 29A,Lägenhet,Johanneberg,Göteborgs kommun,48.0,1.5,3621.0,3000000,2022-09-04,,62500.0,0.0,0.0,57.6922354,11.9870532
Mottagaregatan 3,Radhus,Järnbrott,Göteborgs kommun,87.0,5.0,,4510000,2022-09-03,-5.0,51839.0,324.0,62.0,57.6554612,11.9324976
Axelinas väg 15,Villa,Torslanda,Göteborgs kommun,125.0,4.0,6292.0,6000000,2022-09-03,,48000.0,0.0,0.0,57.7129431,11.724861
Hovås Allé 20,Lägenhet,Hovås,Göteborgs kommun,78.5,3.5,4092.0,4400000,2022-09-03,-3.0,56051.0,0.0,0.0,57.6004582,11.9539867
Pimpinellagatan 21,Radhus,Gårdsten,Göteborgs kommun,103.0,5.0,6736.0,2350000,2022-09-03,7.0,22816.0,0.0,0.0,57.8080574,12.0348177
Liedstrandsgatan 12,Lägenhet,Lunden,Göteborgs kommun,33.0,1.0,1944.0,2500000,2022-09-03,4.0,75758.0,0.0,0.0,57.70996,12.008030425579426
Gamla Björlandavägen 100,Villa,Tolered,Göteborgs kommun,109.0,5.0,,5350000,2022-09-02,,49083.0,729.8,17.0,57.7292686,11.920852
Lodjursstråket 1,Lägenhet,Lindholmen,Göteborgs kommun,49.0,2.0,3817.0,4200000,2022-09-02,-2.0,85714.0,0.0,0.0,57.7095787,11.9390091
Fastlagsgatan 2,Lägenhet,Kortedala,Göteborgs kommun,65.5,3.0,4079.0,1650000,2022-09-02,0.0,25191.0,0.0,0.0,57.75614875,12.030763948238777
Arves Marias väg 12,Lägenhet,Tuve,Göteborgs kommun,33.0,1.0,2202.0,1525000,2022-09-02,-3.0,46212.0,0.0,0.0,57.7503078,11.9296597
Fridkullagatan 17C,Lägenhet,Johanneberg,Göteborgs kommun,58.9,2.0,3769.0,2595000,2022-09-02,0.0,44058.0,0.0,0.0,57.6835143,11.9863818
Hovås klintväg 6,Villa,Hovås,Göteborgs kommun,122.0,7.0,,9120000,2022-09-02,-6.0,74754.0,906.0,143.0,57.61778095,11.930771600000002
Bäckebolsängen 3,Lägenhet,Hisings Backa,Göteborgs kommun,68.5,2.0,4600.0,1595000,2022-09-02,0.0,23285.0,0.0,0.0,57.754185,11.9888863
Penselgatan 6,Lägenhet,Centrala Hisingen,Göteborgs kommun,39.5,1.0,3068.0,2400000,2022-09-02,,60759.0,0.0,0.0,57.7236429,11.9492663
Örnehufvudsgatan 17,Lägenhet,Johanneberg,Göteborgs kommun,50.0,2.0,3250.0,3275000,2022-09-02,,65500.0,0.0,0.0,57.6868327,11.9841505
Vestagatan 1,Lägenhet,Nya Gårda,Göteborgs kommun,54.0,2.0,3403.0,3150000,2022-09-02,0.0,58333.0,0.0,0.0,57.7115656,11.9945599
