address,housing_type,city,sqr_meter,nr_rooms,rent_month,final_price,sold_date,price_increase,price_sqr_m,land_area,other_srq,latitude,longitude,post_code,region
Gamlestadstorget 26,Lägenhet,Göteborgs kommun,66.0,2.0,4686.0,2395000.0,2022-09-15,0.0,36288.0,0.0,0.0,57.7304148,12.0094477, 415 03,Gamlestaden
Ånäsvägen 22,Lägenhet,Göteborgs kommun,61.0,2.0,3952.0,2650000.0,2022-09-15,2.0,43443.0,0.0,0.0,57.7176696,12.0046854, 416 69,Olskroken
Kabelgatan 20,Lägenhet,Göteborgs kommun,70.0,3.0,4983.0,3295000.0,2022-09-15,0.0,47071.0,0.0,0.0,57.6886743,11.925332701962876, 414 70,Majorna
Terapislingan 10B,Lägenhet,Göteborgs kommun,61.1,3.0,3493.0,2550000.0,2022-09-15,4.0,41735.0,0.0,0.0,57.7603544,11.9523455, 422 50,Skogome
Birkagatan 16C,Lägenhet,Göteborgs kommun,114.0,4.0,6425.0,5300000.0,2022-09-15,7.0,46491.0,0.0,0.0,57.7065875,12.0230156, 416 54,Kärralund
Rubingatan 35,Lägenhet,Göteborgs kommun,88.5,4.0,5274.0,2860000.0,2022-09-15,2.0,32316.0,0.0,0.0,57.6440948,11.9027182, 421 64,Kannebäck
Blåsutgatan 13,Lägenhet,Göteborgs kommun,36.0,1.0,2522.0,2100000.0,2022-09-15,2.0,58333.0,0.0,0.0,57.6925644,11.9204931, 414 54,Majorna
Margit Halls Gata 9,Radhus,Göteborgs kommun,117.0,5.0,5144.0,5010000.0,2022-09-15,0.0,42821.0,0.0,0.0,57.7338452,12.0330179, 415 28,Gamlestaden
Trädgårdsbacken 4,Tomt,Göteborgs kommun,749.0,,,1250000.0,2022-09-15,-16.0,1669.0,0.0,0.0,57.805085,12.0454989, 424 67,Angereds centrum
Vändgatan 5,Lägenhet,Göteborgs kommun,64.0,3.0,4182.0,2500000.0,2022-09-15,-2.0,39063.0,0.0,0.0,57.7199162,12.03463815, 416 74,Kålltorp
Tredje Långgatan 32C,Lägenhet,Göteborgs kommun,33.0,1.0,1981.0,2855000.0,2022-09-15,-5.0,86515.0,0.0,0.0,57.6983288,11.9468392, 413 28,Olivedal
Ingefärsgatan 69,Villa,Göteborgs kommun,107.0,4.0,5498.0,2480000.0,2022-09-15,-1.0,23178.0,0.0,0.0,57.8132391,12.0374599, 424 44,Lövgärdet
Marklandsgatan 47,Lägenhet,Göteborgs kommun,93.5,4.0,5885.0,2950000.0,2022-09-15,0.0,31551.0,0.0,0.0,57.6704527,11.9368553, 414 77,Högsbotorp
Gräddgatan 7,Lägenhet,Göteborgs kommun,49.0,2.0,2916.0,2650000.0,2022-09-15,6.0,54082.0,0.0,0.0,57.6830751,12.0090937, 412 75,Kallebäck
Styrmansgatan 26,Lägenhet,Göteborgs kommun,70.0,2.5,4805.0,3700000.0,2022-09-15,4.0,52857.0,0.0,0.0,57.6957998,11.928698, 414 60,Stigberget
Mickelsmässogatan 4,Villa,Göteborgs kommun,75.0,5.0,,4650000.0,2022-09-15,3.0,62000.0,503.0,82.0,57.7399129,12.0533998, 415 71,Utby
Bäckebolsängen 23,Lägenhet,Göteborgs kommun,74.4,3.0,5460.0,1700000.0,2022-09-15,-3.0,22849.0,0.0,0.0,57.7539338,11.9876032, 422 48,Skälltorp
Nordhemsgatan 19D,Lägenhet,Göteborgs kommun,59.0,2.0,3409.0,3550000.0,2022-09-15,-9.0,60169.0,0.0,0.0,57.6999566,11.9490607, 413 28,Olivedal
Eklandagatan 41A,Lägenhet,Göteborgs kommun,52.8,3.0,2662.0,3300000.0,2022-09-15,2.0,62500.0,0.0,0.0,57.691133,11.987705, 412 81,Johanneberg
Badvädersgatan 23,Lägenhet,Göteborgs kommun,66.9,3.0,4198.0,1650000.0,2022-09-14,-6.0,24664.0,0.0,0.0,57.7276513,11.8986849, 418 38,Svartedalen
Lövskogsåsen 51,Villa,Göteborgs kommun,162.0,6.0,,6950000.0,2022-09-14,1.0,42901.0,150.0,0.0,57.572013749999996,11.9518011, 427 39,Billdal
Önneredsvägen 116,Lägenhet,Göteborgs kommun,93.0,4.0,4770.0,4700000.0,2022-09-14,-6.0,50538.0,0.0,0.0,57.6376802,11.8805324, 421 57,Önnered
Rustmästaregatan 31,Lägenhet,Göteborgs kommun,86.0,3.0,4498.0,3750000.0,2022-09-13,6.0,43605.0,0.0,0.0,57.7322833,12.0278921, 415 26,Gamlestaden
Lärjeheds fritidsområde stuga nr 99,Fritidshus,Göteborgs kommun,45.0,2.0,,510000.0,2022-09-18,7.0,11333.0,0.0,0.0,,,,Lärjeheds Fritidsområde
Sixten Camps Gata 6,Lägenhet,Göteborgs kommun,103.0,4.0,5882.0,5350000.0,2022-09-15,8.0,51942.0,0.0,0.0,57.7109688,11.9933452, 416 64,Stampen
Sixten Camps Gata 6,Lägenhet,Göteborgs kommun,86.0,3.0,5004.0,4500000.0,2022-06-09,6.0,52326.0,0.0,0.0,57.7109688,11.9933452, 416 64,Stampen
Sixten Camps gata 8,Lägenhet,Göteborgs kommun,86.0,3.0,5004.0,4680000.0,2022-05-05,8.0,54419.0,0.0,,57.7109688,11.9933452, 416 64,Stampen
Sixten Camps gata 6,Lägenhet,Göteborgs kommun,50.0,2.0,3210.0,3460000.0,2022-03-31,10.0,69200.0,0.0,,57.7109688,11.9933452, 416 64,Stampen
Sixten Camps gata 8,Lägenhet,Göteborgs kommun,91.0,4.0,5316.0,6000000.0,2022-03-25,9.0,65934.0,0.0,,57.7109688,11.9933452, 416 64,Stampen
Sixten Camps gata 6,Lägenhet,Göteborgs kommun,50.0,2.0,3210.0,2990000.0,2022-03-09,0.0,59800.0,0.0,,57.7109688,11.9933452, 416 64,Stampen
Bokekullsgatan 6,Lägenhet,Göteborgs kommun,109.0,4.0,5275.0,6100000.0,2022-09-15,3.0,55963.0,0.0,0.0,57.6778754,11.9291998, 414 75,Kungsladugård
Stampgatan 54A,Lägenhet,Göteborgs kommun,115.0,4.0,4659.0,5450000.0,2022-09-15,-1.0,47391.0,0.0,0.0,57.707719,11.9858396, 411 02,Stampen
Stampgatan 58C,Lägenhet,Göteborgs kommun,83.0,3.0,3492.0,3925000.0,2022-08-25,1.0,47289.0,0.0,0.0,57.707719,11.9858396, 411 02,Stampen
Stampgatan 64,Lägenhet,Göteborgs kommun,97.4,4.0,4405.0,5850000.0,2022-07-06,2.0,60062.0,0.0,0.0,57.707719,11.9858396, 411 02,Stampen
Stampgatan 58C,Lägenhet,Göteborgs kommun,82.5,3.0,3492.0,3825000.0,2022-06-23,-1.0,46364.0,0.0,0.0,57.707719,11.9858396, 411 02,Stampen
Stampgatan 62,Lägenhet,Göteborgs kommun,72.5,3.0,3657.0,4300000.0,2022-06-03,4.0,59310.0,0.0,0.0,57.707719,11.9858396, 411 02,Stampen
Stampgatan 64,Lägenhet,Göteborgs kommun,60.4,2.0,3051.0,3350000.0,2022-06-01,6.0,55464.0,0.0,0.0,57.707719,11.9858396, 411 02,Stampen
Stampgatan 60B,Lägenhet,Göteborgs kommun,58.2,2.0,2728.0,3700000.0,2022-05-19,13.0,63574.0,0.0,0.0,57.707719,11.9858396, 411 02,Stampen
Stampgatan 68A,Lägenhet,Göteborgs kommun,63.0,3.0,3196.0,3750000.0,2022-05-18,10.0,59524.0,0.0,0.0,57.707719,11.9858396, 411 02,Stampen
